"word","count","nextWord","phrase"
"and you",632,"you","and"
"it's not",632,"not","it's"
"are not",630,"not","are"
"the past",624,"past","the"
"well as",624,"as","well"
"the right",623,"right","the"
"of all",621,"all","of"
"it has",621,"has","it"
"in your",618,"your","in"
"see the",618,"the","see"
"and in",617,"in","and"
"you don't",617,"don't","you"
"around the",616,"the","around"
"you will",615,"will","you"
"if the",614,"the","if"
"you want",608,"want","you"
"me and",608,"and","me"
"you to",607,"to","you"
"what is",606,"is","what"
"of her",601,"her","of"
"may be",601,"be","may"
"make a",598,"a","make"
"could be",597,"be","could"
"look at",594,"at","look"
"for this",594,"this","for"
"to come",593,"come","to"
"used to",593,"to","used"
"a big",592,"big","a"
"i've been",592,"been","i've"
"just a",592,"a","just"
"i feel",591,"feel","i"
"in an",590,"an","in"
"she said",586,"said","she"
"is in",585,"in","is"
"of those",585,"those","of"
"he had",585,"had","he"
"is an",584,"an","is"
"out to",582,"to","out"
"for you",578,"you","for"
"in our",575,"our","in"
"know what",575,"what","know"
"the one",575,"one","the"
"of us",574,"us","of"
"and other",573,"other","and"
"make it",572,"it","make"
"was not",569,"not","was"
"to give",567,"give","to"
"the second",566,"second","the"
"a long",566,"long","a"
"do it",566,"it","do"
"i like",564,"like","i"
"my life",563,"life","my"
"been a",563,"a","been"
"at all",562,"all","at"
"the game",561,"game","the"
"about it",560,"it","about"
"i really",559,"really","i"
"not the",559,"the","not"
"and my",559,"my","and"
"the top",559,"top","the"
"know that",557,"that","know"
"what you",557,"you","what"
"the year",554,"year","the"
"try to",553,"to","try"
"couple of",548,"of","couple"
"to use",547,"use","to"
"who is",546,"is","who"
"was in",544,"in","was"
"no one",542,"one","no"
"we had",542,"had","we"
"are a",541,"a","are"
"up in",541,"in","up"
"of these",540,"these","of"
"the house",539,"house","the"
"on this",538,"this","on"
"be able",534,"able","be"
"is no",532,"no","is"
"if they",531,"they","if"
"take a",526,"a","take"
"to you",525,"you","to"
"enough to",525,"to","enough"
"people who",525,"who","people"
"that are",524,"are","that"
"so many",522,"many","so"
"i get",521,"get","i"
"number of",519,"of","number"
"to know",518,"know","to"
"instead of",518,"of","instead"
