"word","count","nextWord","phrase"
"there are a",130,"a","there are"
"i can't wait",129,"wait","i can't"
"to see if",129,"if","to see"
"that i had",129,"had","that i"
"look forward to",128,"to","look forward"
"to find a",128,"a","to find"
"going to have",128,"have","going to"
"but i think",128,"think","but i"
"will be the",127,"the","will be"
"i thought i",127,"i","i thought"
"a bunch of",127,"of","a bunch"
"the idea of",127,"of","the idea"
"i was in",126,"in","i was"
"and i think",126,"think","and i"
"the opportunity to",126,"to","the opportunity"
"to do the",125,"the","to do"
"said in a",125,"a","said in"
"i do not",125,"not","i do"
"be sure to",124,"to","be sure"
"all over the",124,"the","all over"
"to find out",123,"out","to find"
"i'd like to",123,"to","i'd like"
"i was going",123,"going","i was"
"i think the",122,"the","i think"
"the beginning of",122,"of","the beginning"
"it can be",122,"be","it can"
"we had a",122,"a","we had"
"was in the",122,"the","was in"
"is the best",121,"best","is the"
"in love with",121,"with","in love"
"a few days",121,"days","a few"
"and of course",121,"course","and of"
"that i can",121,"can","that i"
"of my favorite",121,"favorite","of my"
"by the time",120,"time","by the"
"be in the",120,"the","be in"
"on the road",120,"road","on the"
"that we are",120,"are","that we"
"you don't have",120,"have","you don't"
"to take the",120,"the","to take"
"go back to",120,"to","go back"
"went to the",119,"the","went to"
"supposed to be",119,"be","supposed to"
"i am going",119,"going","i am"
"that is the",119,"the","that is"
"part of a",118,"a","part of"
"one of them",118,"them","one of"
"so i can",118,"can","so i"
"i think that",118,"that","i think"
"front of the",118,"the","front of"
"no matter how",118,"how","no matter"
"want to see",118,"see","want to"
"the name of",118,"of","the name"
"of the season",117,"season","of the"
"that he was",117,"was","that he"
"back in the",117,"the","back in"
"been able to",117,"to","been able"
"as a result",117,"result","as a"
"know how to",117,"to","know how"
"what to do",117,"do","what to"
"no matter what",117,"what","no matter"
"of the time",117,"time","of the"
"to look at",116,"at","to look"
"to see what",116,"what","to see"
"that there is",116,"is","that there"
"by the way",115,"way","by the"
"of the new",115,"new","of the"
"am going to",115,"to","am going"
"the bottom of",115,"of","the bottom"
"there was no",115,"no","there was"
"you know what",115,"what","you know"
"a little more",115,"more","a little"
"of all the",114,"the","of all"
"up with a",114,"a","up with"
"but i have",114,"have","but i"
"it's going to",114,"to","it's going"
"the kind of",114,"of","the kind"
"in the future",114,"future","in the"
"in the country",114,"country","in the"
"is a great",114,"great","is a"
"i like to",114,"to","i like"
"a few years",114,"years","a few"
"on the way",112,"way","on the"
"but i don't",112,"don't","but i"
"come up with",112,"with","come up"
"in the second",112,"second","in the"
"how do you",111,"you","how do"
"percent of the",111,"the","percent of"
"and this is",111,"is","and this"
"to try to",111,"to","to try"
"is a good",110,"good","is a"
